8100.0000,-0.4728,-0.4993,-1.2847,-1.4266,-0.0196,-0.0217,-2.0779,-1.3686,-1.8206,-5.6532,-0.0519,0.0088,-0.1676,0.2439,-0.0413, -1.7314, 0.2924, -5.5850
8400.0000,-0.6229,-0.4847,-1.7163,-1.4065,-0.0261,-0.0214,-2.4934,-1.3463,-2.2188,-5.8753,-0.0645,0.0115,-0.1762,0.2308,-0.0411, -2.1844, 0.3890, -5.8753
8700.0000,-0.7613,-0.4263,-2.1216,-1.2592,-0.0323,-0.0192,-2.8749,-1.2054,-2.6438,-5.5472,-0.0782,0.0132,-0.1664,0.2176,-0.0365, -2.6071, 0.4389, -5.5472
9000.0000,-0.8760,-0.3296,-2.4644,-0.9984,-0.0375,-0.0152,-3.2027,-0.9529,-2.9782,-4.8255,-0.0884,0.0130,-0.1448,0.2085,-0.0303, -2.9468, 0.4315, -4.8255
9300.0000,-0.9570,-0.2029,-2.7144,-0.6476,-0.0413,-0.0099,-3.4353,-0.6183,-3.3595,-3.1568,-0.1003,0.0099,-0.0957,0.1984,-0.0187, -3.3438, 0.3244, -3.1568
9600.0000,-0.9966,-0.0578,-2.8491,-0.2379,-0.0434,-0.0036,-3.5616,-0.2187,-3.5477,-1.2781,-0.1060,0.0049,-0.0422,0.1937,-0.0077, -3.5439, 0.1644, -1.2781
9900.0000,-0.9914,0.0922,-2.8558,0.1933,-0.0435,0.0029,-3.5645,0.1951,-3.5604,0.8663,-0.1071,-0.0020,0.0182,0.1929,0.0035, -3.5698, -0.0650, 0.6060
10200.0000,-0.9531,0.2115,-2.7344,0.6066,-0.0416,0.0092,-3.4492,0.5872,-3.4268,2.6406,-0.1025,-0.0081,0.0792,0.1966,0.0156, -3.4160, -0.2713, 2.6406
10500.0000,-0.8698,0.3366,-2.4954,0.9655,-0.0380,0.0147,-3.2200,0.9330,-3.1329,4.2825,-0.0932,-0.0120,0.1285,0.2043,0.0264, -3.1071, -0.4010, 4.2825
10800.0000,-0.7534,0.4310,-2.1586,1.2384,-0.0329,0.0188,-2.9690,1.1484,-2.7460,5.3680,-0.0812,-0.0132,0.1612,0.2149,0.0349, -2.7103, -0.4411, 5.3680
11100.0000,-0.6143,0.4868,-1.7593,1.3973,-0.0268,0.0213,-2.5200,1.3406,-2.2474,5.8656,-0.0686,-0.0122,0.1754,0.2268,0.0402, -2.2877, -0.4053, 5.8453
11400.0000,-0.4647,0.4988,-1.3298,1.4307,-0.0203,0.0218,-2.1878,1.3744,-1.9188,5.7676,-0.0565,-0.0099,0.1730,0.2390,0.0418, -1.8902, -0.3301, 5.7676
11700.0000,-0.3179,0.4656,-0.9088,1.3348,-0.0139,0.0203,-1.7028,1.2773,-1.4835,5.0883,-0.0457,-0.0072,0.1561,0.2506,0.0394, -1.5235, -0.2402, 5.2030
12000.0000,-0.1877,0.3905,-0.5360,1.1183,-0.0082,0.0170,-1.4018,1.1142,-1.2472,4.2830,-0.0371,-0.0048,0.1285,0.2604,0.0336, -1.2369, -0.1599, 4.2830
12300.0000,-0.0857,0.2799,-0.2439,0.8003,-0.0037,0.0122,-1.1056,0.8271,-1.0247,3.0849,-0.0306,-0.0028,0.0924,0.2681,0.0249, -1.0204, -0.0944, 3.0849
12600.0000,-0.0213,0.1444,-0.0601,0.4112,-0.0009,0.0063,-0.8817,0.3857,-0.8609,1.4336,-0.0260,-0.0014,0.0469,0.2736,0.0127, -0.8598, -0.0438, 1.4336
12900.0000,0.0000,0.0000,0.0001,-0.0027,0.0000,-0.0000,-0.8256,-0.0074,-0.8256,-0.0079,-0.0248,-0.0001,0.0061,0.2752,0.0017, -0.8266, -0.0046, 0.2021
13200.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.8257,-0.0000,-0.8257,-0.0000,-0.0248,0.0000,-0.0000,0.2752,0.0000, -0.8257, 0.0000, -0.0000
13500.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.8257,-0.0000,-0.8257,0.0000,-0.0248,-0.0000,0.0000,0.2752,0.0000, -0.8257, -0.0000, 0.0000
13800.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.8257,0.0000,-0.8257,0.0000,-0.0248,0.0000,0.0000,0.2752,0.0000, -0.8257, 0.0000, 0.0000
14100.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.8257,-0.0000,-0.8257,-0.0000,-0.0248,-0.0000,-0.0000,0.2752,-0.0000, -0.8257, -0.0000, -0.0000
14400.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.8257,-0.0000,-0.8257,-0.0000,-0.0248,0.0000,-0.0000,0.2752,0.0000, -0.8257, 0.0000, -0.0000
14700.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.8257,0.0000,-0.8257,-0.0000,-0.0248,0.0000,-0.0000,0.2752,0.0000, -0.8257, 0.0000, -0.0000
15000.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.8257,-0.0000,-0.8257,0.0000,-0.0248,-0.0000,0.0000,0.2752,0.0000, -0.8257, -0.0000, 0.0000
15300.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.8257,0.0000,-0.8257,-0.0000,-0.0248,0.0000,-0.0000,0.2752,-0.0000, -0.8257, 0.0000, -0.0000
